,PMID,sent-idx,sentence
140,2223363,3,"The duration of induction was significantly longer (P less than 0.001) with the slower infusion rates (104, 68 and 51 s), but the total dose used was significantly less (P less than 0.001) in these patients (1.2, 1.6 and 2.5 mg kg-1, respectively)."
141,2223363,4,The decrease in systolic and diastolic arterial pressure was significantly less in the 300-ml h-1 group at the end of induction and immediately after induction (P less than 0.01).
142,2223363,5,"The incidence of apnoea was also significantly less in the slower infusion group.

"
143,23114870,0,"Custom-fit minimally invasive total knee arthroplasty: effect on blood loss and early clinical outcomes.

"
144,23114870,1,PURPOSE
145,23114870,2,"Recently, new custom-fit pin guides in total knee arthroplasty (TKA) have been introduced."
146,23114870,3,Use of these guides may reduce operating time.
147,23114870,4,Use of the guides combined with the absence of intramedullary alignment jigs may lead to reduced blood loss and improved early outcomes.
148,23114870,5,"Our aim was to evaluate blood loss and early clinical outcomes in patients undergoing minimally invasive TKA using custom-fit magnetic resonance imaging (MRI)-based pin guides.
"
149,23114870,6,METHODS
150,23114870,7,A prospective study in 80 patients was carried out.
151,23114870,8,Patients were divided randomly into 2 equal groups.
152,23114870,9,"In one group, intramedullary alignment jigs were used."
153,23114870,10,"In the second group, custom-fit MRI-based pin guides were used."
154,23114870,11,All patients received the same cemented posterior-stabilized implant through a mini-midvastus approach.
155,23114870,12,The volume in the drain bottles was recorded after 48 h. Hb loss was estimated by subtracting the postoperative from the preoperative Hb level.
156,23114870,13,Transfusion requirements and surgical time were recorded.
157,23114870,14,"Outcome measures were Knee Society Scores (KSS), knee flexion, knee swelling and pain.
"
158,23114870,15,RESULTS
159,23114870,16,There was lower mean drainage of blood in the custom-fit group (391 ml vs. 603 ml; p < 0.0001).
160,23114870,17,There was no difference in estimated loss of Hb (3.6 g/dl vs. 4.1 g/dl; n.s.) and in transfusion requirements (7.5 % vs. 10 %; n.s.).
161,23114870,18,Surgical time was reduced in the custom-fit group (12 min less; p = 0.001).
162,23114870,19,"KSS measured at week 2, 6 and 12 showed no significant difference between groups."
163,23114870,20,"Knee flexion measured on days 7, 10 and at week 6, 12 and knee swelling and pain measured on days 1, 3, 10 and at week 6, 12 showed no significant difference between groups.
"
164,23114870,21,CONCLUSIONS
165,23114870,22,"Using custom-fit pin guides reduces blood drainage, but not the estimated Hb loss in minimally invasive TKA and does not affect transfusion rate."
166,23114870,23,Surgical time is reduced.
167,23114870,24,"There is no effect on the early clinical outcomes.
"
168,23114870,25,"LEVEL OF EVIDENCE Therapeutic study, Level"
169,23114870,26,"I.

"
170,361799,0,[The chemotherapy of advanced breast cancer.
171,361799,1,"A report on the first 600 cases in a cooperative programme to carry out a systematic study (1974-1977) (author's transl)].

"
172,361799,2,The authors explain the objectives and the structure of a programme evolved for the methodic study of advanced breast cancers which they have worked out and carried out in cooperation with the departments of medicine in eight French anticancer centres.
173,361799,3,"They analyse the initial phases, which correspond to the three first years of work."
174,361799,4,They give the state of the results that have been obtained in 603 patients using three protocols for treatment.
175,361799,5,These consisted of the administration in interrupted doses of chemotherapy which consisted of vincristine associated for the one part with cyclophosphamide and 5-fluoro-uracil and on the other hand with doxorubicine or/and with methotrexate.
176,361799,6,"From this study there emerged the value of combined therapy using doxorubicine as much because of the frequency with which results better than 50% were obtained (in a randomised trial) as by their quality, which was made clear in an important series of 240 cases."
177,361799,7,"They point out the conditions required to initiate the place of such a scheme in all complex therapy which aims as much at palliation as at cure, and point out how important it is to be methodical in the application of chemotherapy in order to ensure its development as an anticancer therapy.

"
178,1780092,0,"[Clinical study of the efficacy of and tolerance to nimesulide in suppository formulation in pain-inflammatory pathologies of the ear, nose, and throat].

"
179,1780092,1,The efficacy and tolerability of a new pharmaceutical form of the non-steroid anti-inflammatory drug.
180,1780092,2,"Nimesulide have been studied in a double blind study compared with flurbiprofen, in 98 patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature."
181,1780092,3,"Both drugs, administered in a dose of one suppository twice a day for 7 days, showed marked anti-inflammatory, analgesic and antipyretic activity and produced a significant, progressive improvement in the typical symptoms of the inflammatory state up to their complete remission."
182,1780092,4,Nimesulide evidenced greater speed and duration of therapeutic action.
183,1780092,5,"Assessment on the effectiveness and tolerability as expressed separately by the physician and patient were positive in almost all cases of both treatments.

"
184,19159999,0,"To compare the efficacy and safety of nifedipine sustained release with Ginkgo biloba extract to treat patients with primary Raynaud's phenomenon in South Korea; Korean Raynaud study (KOARA study).

"
185,19159999,1,This study examined the efficacy and safety of nifedipine sustained release (nifedipine SR) compared with Ginkgo biloba extract as treatment for primary Raynaud's phenomenon (RP) in Korea.
186,19159999,2,Primary RP were screened and assigned to either the nifedipine SR group (Group N) or the Ginkgo biloba extract group (Group G) in the ratio of 2:1.
187,19159999,3,"After a run-in period of 2 weeks, patients received treatment for 8 weeks."
188,19159999,4,We observed the percent improvement of the RP attack rate between before and after the 8-week treatment.
189,19159999,5,Ninety-three subjects were randomly assigned.
190,19159999,6,"The percent improvement in Group N was 50.1% at 8 weeks after treatment, while it was 31.0% in Group G (p = 0.03)."
191,19159999,7,"No serious adverse events occurred, and almost adverse events were mild and improved without specific treatment."
192,19159999,8,nifedipine SR was more effective than Ginkgo biloba extract for treatment of primary RP in Korean patients.
193,19159999,9,"Both drugs were tolerable with primary RP patients.

"
194,11829043,0,"A pilot study on the effect of progressive muscle relaxation training of patients after stoma surgery.

"
195,11829043,1,"Eighteen patients who had undergone stoma surgery were assessed with respect to their anxiety level and self-reported quality of life (QoL) on three occasions; namely, immediately after surgery, 5 weeks after surgery, and 10 weeks after surgery."
196,11829043,2,The patients were randomised into a control group (n = 10) and an experimental group (n = 8).
197,11829043,3,A 20-min set of audiotaped instructions on progressive muscle relaxation training (PMRT) was given to the patients in the experimental group for home practice.
198,11829043,4,"Assessment instructions included the Chinese State-Trait Anxiety Inventory (C-STAI), the Quality of Life Index for Colostomy (QoL-Colostomy) and the Hong Kong Chinese version of the World Health Organisation Quality of Life Scale (WHOQoL)."
199,11829043,5,"Results indicated that there was a significant decrease in both the C-STAI score (F = 4.66, P < 0.05) and the WHOQoL score (F = 4.74, P < 0.05) in the experimental group."
200,11829043,6,"Among the domains of WHOQoL, a significant difference was shown in physical health/independence and general perception of QoL, with the experimental group demonstrating better functioning."
201,11829043,7,"For the QoL-Colostomy, however, there was no significant difference between the control and experimental groups."
202,11829043,8,"The results suggest that the use of PMRT could enhance quality of life and decrease state anxiety in patients after stoma surgery.

"
203,11381289,0,"Why were the results of the Heart Outcomes Prevention Evaluation (HOPE) trial so astounding?

"
204,11381289,1,The Heart Outcomes Prevention Evaluation (HOPE) study was important because it showed the benefits of ramipril - an angiotensin-converting enzyme (ACE) inhibitor - in patients at high risk for cardiovascular events.
205,11381289,2,"Treatment with ramipril significantly reduced the rates of death, myocardial infarction, stroke, coronary revascularization, cardiac arrest and heart failure, as well as the risk of diabetes-related complications and of diabetes itself."
206,11381289,3,"The effects of therapy with vitamin E were also evaluated, but no statistical benefits were shown."
207,11381289,4,"The benefits of ACE inhibitor therapy that were observed were likely due to a variety of mechanisms, not just a reduction in blood pressure.

"
208,26278470,0,Inference-Based Approach versus Cognitive Behavioral Therapy in the Treatment of Obsessive-Compulsive Disorder with Poor Insight:
209,26278470,1,"A 24-Session Randomized Controlled Trial.

"
210,26278470,2,"OBJECTIVE Obsessive-compulsive disorder (OCD) with poor insight has severe consequences for patients; nonetheless, no randomized controlled trial has ever been performed to evaluate the effectiveness of any treatment specifically for poor-insight OCD."
211,26278470,3,"A new psychotherapy for OCD, the inference-based approach (IBA), targets insight in OCD by strengthening normal sensory-driven reality testing."
212,26278470,4,"The goal of the present study is to compare the effectiveness of this new treatment to the effectiveness of cognitive behavior therapy (CBT) for patients with OCD with poor insight.
"
213,26278470,5,"METHOD A randomized controlled trial was conducted, in which 90 patients with OCD with poor insight received either 24 CBT sessions or 24 IBA sessions."
214,26278470,6,The primary outcome measure was the Yale-Brown Obsessive Compulsive Scale (YBOCS).
215,26278470,7,"Secondary outcome measures were level of insight, anxiety and depressive symptoms, and quality of life."
216,26278470,8,"Mixed-effects models were used to determine the treatment effect.
"
217,26278470,9,RESULTS
218,26278470,10,"In both conditions, a significant OCD symptom reduction was reached, but no condition effects were established."
219,26278470,11,"Post hoc, in a small subgroup of patients with the worst insight (n = 23), it was found that the patients treated with the IBA reached a significantly higher OCD symptom reduction than the patients treated with CBT [estimated marginal mean = -7.77, t(219.45) ="
220,26278470,12,"-2.4, p = 0.017].
"
221,26278470,13,CONCLUSION Patients with OCD with poor insight improve significantly after psychological treatment.
222,26278470,14,The results of this study suggest that both CBT and the IBA are effective treatments for OCD with poor insight.
223,26278470,15,"The IBA might be more promising than CBT for patients with more extreme poor insight.

"
224,16055807,0,"Interventions in the initial prodromal states of psychosis in Germany: concept and recruitment.

"
225,16055807,1,BACKGROUND The Early Detection and Intervention Programme of the German Research Network on Schizophrenia (GRNS) investigates the initial prodromal phase of psychosis in a multidimensional approach.
226,16055807,2,"Two intervention strategies are being studied by two large-scale multicentre projects.
"
227,16055807,3,AIMS
228,16055807,4,"To present the concept of the intervention studies, and to provide an interim report of the recruitment procedure.
"
229,16055807,5,"METHOD Comprehensive cognitive-behavioural therapy has been developed for patients in the ""early initial prodromal state""."
230,16055807,6,"For patients in the ""late initial prodromal state"" the atypical neuroleptic amisulpride is explored."
231,16055807,7,"Both interventions are evaluated in randomised controlled trials using clinical management as the control condition.
"
232,16055807,8,RESULTS
233,16055807,9,"Between January 2001 and March 2003, 1212 individuals seeking help for mental health problems were screened for putative prodromal symptoms at four university centres."
234,16055807,10,"More than 388 individuals fulfilled criteria for both interventions and 188 (48.5%) gave informed consent to participate in the trials.
"
235,16055807,11,CONCLUSIONS
236,16055807,12,"The screening procedure appears to be feasible and trial participation seems to be acceptable to a relevant proportion of people at increased risk of developing psychosis.

"
237,19727232,0,"[Effects of auditory integrative training on autistic children].

"
238,19727232,1,OBJECTIVE
239,19727232,2,"To explore the short-term treatment effect of the auditory integrative training on autistic children and provide them with clinical support for rehabilitative treatment.
"
240,19727232,3,METHODS A total of 81 cases of autistic children were selected through the standard of DSM-4 and clinical case study was used.
241,19727232,4,"They were divided randomly into experimental group and control one, and respectively received auditory integrative training and no training based on the multiple therapies."
242,19727232,5,The patients were investigated using clinical manifestation and Autism Behavior Checklist (ABC) and intelligence quotient (IQ) before and after six months of treatment.
243,19727232,6,The effect was evaluated through the changes of clinical manifestations and scores of ABC and IQ.
244,19727232,7,"The changes of scores of IQ were determined with Gesell and WPPSI or WISC-R.
RESULTS Compared with 40 patients of the control group after the six months of the auditory integrative training, 41 of the experimental group had greatly improved in many aspects, such as the disorders of their language, social interactions and typical behavior symptoms while they had not changed in their abnormal behaviors."
245,19727232,8,The scores of IQ or DQ had increased and scores of ABC had dropped.
246,19727232,9,The differences between the two groups were greatly significant in statistics (P < 0.01).
247,19727232,10,"The decreasing level of both ABC scores and the increasing level of the IQ scores were negatively correlated with age, and the decreasing level of ABC scores was in line regression(positive correlation) with base IQ.
"
248,19727232,11,CONCLUSION
249,19727232,12,"The treatment of auditory integrative training (AIT) could greatly improve on language disorders, the difficulties of social interactions, typical behavior symptoms and developmental levels,therefore it is positive to the autistic children in its short-term treatment effect.

"
250,22271197,0,"Goal attainment scaling as an outcome measure in randomized controlled trials of psychosocial interventions in autism.

"
251,22271197,1,Goal attainment scaling (GAS) holds promise as an idiographic approach for measuring outcomes of psychosocial interventions in community settings.
252,22271197,2,"GAS has been criticized for untested assumptions of scaling level (i.e., interval or ordinal), inter-individual equivalence and comparability, and reliability of coding across different behavioral observation methods."
253,22271197,3,"We tested assumptions of equality between GAS descriptions for outcome measurement in a randomized trial (i.e., measurability, equidistance, level of difficulty, comparability of behavior samples collected from teachers vs. researchers and live vs. videotape)."
254,22271197,4,"Results suggest GAS descriptions can be evaluated for equivalency, that teacher collected behavior samples are representative, and that varied sources of behavior samples can be reliably coded."
255,22271197,5,GAS is a promising measurement approach.
256,22271197,6,"Recommendations are provided to ensure methodological quality.

"
257,19708562,0,"[Effect of transcranial electrostimulation on clinical and laboratory characteristics in patients with gastric ulcer].

"
258,19708562,1,The study included 100 patients with gastric ulcer aged from 16 to 60 years.
259,19708562,2,"In 58 patients, traditional treatment was supplemented by transcranial electrotherapy using a TRANSAIR-02 apparatus."
260,19708562,3,"Laboratory studies included measurements of lactoferrin (LF) and tumour necrosis factor-alpha (TNF-alpha), besides standard analyses."
261,19708562,4,"Combined treatment (traditional therapy plus electrostimulation) resulted in a significant reduction in duration of the main symptoms of the gastric ulcer depending on the severity of ulceration process, patients' age and sex."
262,19708562,5,"Moreover, it facilitated ulcer scarring and had beneficial effect on dynamics of serum LF and TNF-alpha levels.

"
263,14679127,0,"Long-term survival in a phase III, randomised study of topotecan versus paclitaxel in advanced epithelial ovarian carcinoma.

"
264,14679127,1,"BACKGROUND We have continued to monitor the survival of patients randomised in a previously reported multicentre phase III study of topotecan versus paclitaxel in patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen.
"
