PMID,text
2223363,"Effect of different rates of infusion of propofol for induction of anaesthesia in elderly patients.

The effect of changing the rate of infusion of propofol for induction of anaesthesia was studied in 60 elderly patients. Propofol was administered at 300, 600 or 1200 ml h-1 until loss of consciousness (as judged by loss of verbal contact with the patient) had been achieved. The duration of induction was significantly longer (P less than 0.001) with the slower infusion rates (104, 68 and 51 s), but the total dose used was significantly less (P less than 0.001) in these patients (1.2, 1.6 and 2.5 mg kg-1, respectively). The decrease in systolic and diastolic arterial pressure was significantly less in the 300-ml h-1 group at the end of induction and immediately after induction (P less than 0.01). The incidence of apnoea was also significantly less in the slower infusion group.

"
23114870,"Custom-fit minimally invasive total knee arthroplasty: effect on blood loss and early clinical outcomes.

PURPOSE Recently, new custom-fit pin guides in total knee arthroplasty (TKA) have been introduced. Use of these guides may reduce operating time. Use of the guides combined with the absence of intramedullary alignment jigs may lead to reduced blood loss and improved early outcomes. Our aim was to evaluate blood loss and early clinical outcomes in patients undergoing minimally invasive TKA using custom-fit magnetic resonance imaging (MRI)-based pin guides.
METHODS A prospective study in 80 patients was carried out. Patients were divided randomly into 2 equal groups. In one group, intramedullary alignment jigs were used. In the second group, custom-fit MRI-based pin guides were used. All patients received the same cemented posterior-stabilized implant through a mini-midvastus approach. The volume in the drain bottles was recorded after 48 h. Hb loss was estimated by subtracting the postoperative from the preoperative Hb level. Transfusion requirements and surgical time were recorded. Outcome measures were Knee Society Scores (KSS), knee flexion, knee swelling and pain.
RESULTS There was lower mean drainage of blood in the custom-fit group (391 ml vs. 603 ml; p < 0.0001). There was no difference in estimated loss of Hb (3.6 g/dl vs. 4.1 g/dl; n.s.) and in transfusion requirements (7.5 % vs. 10 %; n.s.). Surgical time was reduced in the custom-fit group (12 min less; p = 0.001). KSS measured at week 2, 6 and 12 showed no significant difference between groups. Knee flexion measured on days 7, 10 and at week 6, 12 and knee swelling and pain measured on days 1, 3, 10 and at week 6, 12 showed no significant difference between groups.
CONCLUSIONS Using custom-fit pin guides reduces blood drainage, but not the estimated Hb loss in minimally invasive TKA and does not affect transfusion rate. Surgical time is reduced. There is no effect on the early clinical outcomes.
LEVEL OF EVIDENCE Therapeutic study, Level I.

"
361799,"[The chemotherapy of advanced breast cancer. A report on the first 600 cases in a cooperative programme to carry out a systematic study (1974-1977) (author's transl)].

The authors explain the objectives and the structure of a programme evolved for the methodic study of advanced breast cancers which they have worked out and carried out in cooperation with the departments of medicine in eight French anticancer centres. They analyse the initial phases, which correspond to the three first years of work. They give the state of the results that have been obtained in 603 patients using three protocols for treatment. These consisted of the administration in interrupted doses of chemotherapy which consisted of vincristine associated for the one part with cyclophosphamide and 5-fluoro-uracil and on the other hand with doxorubicine or/and with methotrexate. From this study there emerged the value of combined therapy using doxorubicine as much because of the frequency with which results better than 50% were obtained (in a randomised trial) as by their quality, which was made clear in an important series of 240 cases. They point out the conditions required to initiate the place of such a scheme in all complex therapy which aims as much at palliation as at cure, and point out how important it is to be methodical in the application of chemotherapy in order to ensure its development as an anticancer therapy.

"
1780092,"[Clinical study of the efficacy of and tolerance to nimesulide in suppository formulation in pain-inflammatory pathologies of the ear, nose, and throat].

The efficacy and tolerability of a new pharmaceutical form of the non-steroid anti-inflammatory drug. Nimesulide have been studied in a double blind study compared with flurbiprofen, in 98 patients aged between 18 and 75 suffering from pain-inflammatory pathologies of ENT nature. Both drugs, administered in a dose of one suppository twice a day for 7 days, showed marked anti-inflammatory, analgesic and antipyretic activity and produced a significant, progressive improvement in the typical symptoms of the inflammatory state up to their complete remission. Nimesulide evidenced greater speed and duration of therapeutic action. Assessment on the effectiveness and tolerability as expressed separately by the physician and patient were positive in almost all cases of both treatments.

"
19159999,"To compare the efficacy and safety of nifedipine sustained release with Ginkgo biloba extract to treat patients with primary Raynaud's phenomenon in South Korea; Korean Raynaud study (KOARA study).

This study examined the efficacy and safety of nifedipine sustained release (nifedipine SR) compared with Ginkgo biloba extract as treatment for primary Raynaud's phenomenon (RP) in Korea. Primary RP were screened and assigned to either the nifedipine SR group (Group N) or the Ginkgo biloba extract group (Group G) in the ratio of 2:1. After a run-in period of 2 weeks, patients received treatment for 8 weeks. We observed the percent improvement of the RP attack rate between before and after the 8-week treatment. Ninety-three subjects were randomly assigned. The percent improvement in Group N was 50.1% at 8 weeks after treatment, while it was 31.0% in Group G (p = 0.03). No serious adverse events occurred, and almost adverse events were mild and improved without specific treatment. nifedipine SR was more effective than Ginkgo biloba extract for treatment of primary RP in Korean patients. Both drugs were tolerable with primary RP patients.

"
11829043,"A pilot study on the effect of progressive muscle relaxation training of patients after stoma surgery.

Eighteen patients who had undergone stoma surgery were assessed with respect to their anxiety level and self-reported quality of life (QoL) on three occasions; namely, immediately after surgery, 5 weeks after surgery, and 10 weeks after surgery. The patients were randomised into a control group (n = 10) and an experimental group (n = 8). A 20-min set of audiotaped instructions on progressive muscle relaxation training (PMRT) was given to the patients in the experimental group for home practice. Assessment instructions included the Chinese State-Trait Anxiety Inventory (C-STAI), the Quality of Life Index for Colostomy (QoL-Colostomy) and the Hong Kong Chinese version of the World Health Organisation Quality of Life Scale (WHOQoL). Results indicated that there was a significant decrease in both the C-STAI score (F = 4.66, P < 0.05) and the WHOQoL score (F = 4.74, P < 0.05) in the experimental group. Among the domains of WHOQoL, a significant difference was shown in physical health/independence and general perception of QoL, with the experimental group demonstrating better functioning. For the QoL-Colostomy, however, there was no significant difference between the control and experimental groups. The results suggest that the use of PMRT could enhance quality of life and decrease state anxiety in patients after stoma surgery.

"
11381289,"Why were the results of the Heart Outcomes Prevention Evaluation (HOPE) trial so astounding?

The Heart Outcomes Prevention Evaluation (HOPE) study was important because it showed the benefits of ramipril - an angiotensin-converting enzyme (ACE) inhibitor - in patients at high risk for cardiovascular events. Treatment with ramipril significantly reduced the rates of death, myocardial infarction, stroke, coronary revascularization, cardiac arrest and heart failure, as well as the risk of diabetes-related complications and of diabetes itself. The effects of therapy with vitamin E were also evaluated, but no statistical benefits were shown. The benefits of ACE inhibitor therapy that were observed were likely due to a variety of mechanisms, not just a reduction in blood pressure.

"
26278470,"Inference-Based Approach versus Cognitive Behavioral Therapy in the Treatment of Obsessive-Compulsive Disorder with Poor Insight: A 24-Session Randomized Controlled Trial.

OBJECTIVE Obsessive-compulsive disorder (OCD) with poor insight has severe consequences for patients; nonetheless, no randomized controlled trial has ever been performed to evaluate the effectiveness of any treatment specifically for poor-insight OCD. A new psychotherapy for OCD, the inference-based approach (IBA), targets insight in OCD by strengthening normal sensory-driven reality testing. The goal of the present study is to compare the effectiveness of this new treatment to the effectiveness of cognitive behavior therapy (CBT) for patients with OCD with poor insight.
METHOD A randomized controlled trial was conducted, in which 90 patients with OCD with poor insight received either 24 CBT sessions or 24 IBA sessions. The primary outcome measure was the Yale-Brown Obsessive Compulsive Scale (YBOCS). Secondary outcome measures were level of insight, anxiety and depressive symptoms, and quality of life. Mixed-effects models were used to determine the treatment effect.
RESULTS In both conditions, a significant OCD symptom reduction was reached, but no condition effects were established. Post hoc, in a small subgroup of patients with the worst insight (n = 23), it was found that the patients treated with the IBA reached a significantly higher OCD symptom reduction than the patients treated with CBT [estimated marginal mean = -7.77, t(219.45) = -2.4, p = 0.017].
CONCLUSION Patients with OCD with poor insight improve significantly after psychological treatment. The results of this study suggest that both CBT and the IBA are effective treatments for OCD with poor insight. The IBA might be more promising than CBT for patients with more extreme poor insight.

"
16055807,"Interventions in the initial prodromal states of psychosis in Germany: concept and recruitment.

BACKGROUND The Early Detection and Intervention Programme of the German Research Network on Schizophrenia (GRNS) investigates the initial prodromal phase of psychosis in a multidimensional approach. Two intervention strategies are being studied by two large-scale multicentre projects.
AIMS To present the concept of the intervention studies, and to provide an interim report of the recruitment procedure.
METHOD Comprehensive cognitive-behavioural therapy has been developed for patients in the ""early initial prodromal state"". For patients in the ""late initial prodromal state"" the atypical neuroleptic amisulpride is explored. Both interventions are evaluated in randomised controlled trials using clinical management as the control condition.
RESULTS Between January 2001 and March 2003, 1212 individuals seeking help for mental health problems were screened for putative prodromal symptoms at four university centres. More than 388 individuals fulfilled criteria for both interventions and 188 (48.5%) gave informed consent to participate in the trials.
CONCLUSIONS The screening procedure appears to be feasible and trial participation seems to be acceptable to a relevant proportion of people at increased risk of developing psychosis.

"
19727232,"[Effects of auditory integrative training on autistic children].

OBJECTIVE To explore the short-term treatment effect of the auditory integrative training on autistic children and provide them with clinical support for rehabilitative treatment.
METHODS A total of 81 cases of autistic children were selected through the standard of DSM-4 and clinical case study was used. They were divided randomly into experimental group and control one, and respectively received auditory integrative training and no training based on the multiple therapies. The patients were investigated using clinical manifestation and Autism Behavior Checklist (ABC) and intelligence quotient (IQ) before and after six months of treatment. The effect was evaluated through the changes of clinical manifestations and scores of ABC and IQ. The changes of scores of IQ were determined with Gesell and WPPSI or WISC-R.
RESULTS Compared with 40 patients of the control group after the six months of the auditory integrative training, 41 of the experimental group had greatly improved in many aspects, such as the disorders of their language, social interactions and typical behavior symptoms while they had not changed in their abnormal behaviors. The scores of IQ or DQ had increased and scores of ABC had dropped. The differences between the two groups were greatly significant in statistics (P < 0.01). The decreasing level of both ABC scores and the increasing level of the IQ scores were negatively correlated with age, and the decreasing level of ABC scores was in line regression(positive correlation) with base IQ.
CONCLUSION The treatment of auditory integrative training (AIT) could greatly improve on language disorders, the difficulties of social interactions, typical behavior symptoms and developmental levels,therefore it is positive to the autistic children in its short-term treatment effect.

"
22271197,"Goal attainment scaling as an outcome measure in randomized controlled trials of psychosocial interventions in autism.

Goal attainment scaling (GAS) holds promise as an idiographic approach for measuring outcomes of psychosocial interventions in community settings. GAS has been criticized for untested assumptions of scaling level (i.e., interval or ordinal), inter-individual equivalence and comparability, and reliability of coding across different behavioral observation methods. We tested assumptions of equality between GAS descriptions for outcome measurement in a randomized trial (i.e., measurability, equidistance, level of difficulty, comparability of behavior samples collected from teachers vs. researchers and live vs. videotape). Results suggest GAS descriptions can be evaluated for equivalency, that teacher collected behavior samples are representative, and that varied sources of behavior samples can be reliably coded. GAS is a promising measurement approach. Recommendations are provided to ensure methodological quality.

"
19708562,"[Effect of transcranial electrostimulation on clinical and laboratory characteristics in patients with gastric ulcer].

The study included 100 patients with gastric ulcer aged from 16 to 60 years. In 58 patients, traditional treatment was supplemented by transcranial electrotherapy using a TRANSAIR-02 apparatus. Laboratory studies included measurements of lactoferrin (LF) and tumour necrosis factor-alpha (TNF-alpha), besides standard analyses. Combined treatment (traditional therapy plus electrostimulation) resulted in a significant reduction in duration of the main symptoms of the gastric ulcer depending on the severity of ulceration process, patients' age and sex. Moreover, it facilitated ulcer scarring and had beneficial effect on dynamics of serum LF and TNF-alpha levels.

"
14679127,"Long-term survival in a phase III, randomised study of topotecan versus paclitaxel in advanced epithelial ovarian carcinoma.

BACKGROUND We have continued to monitor the survival of patients randomised in a previously reported multicentre phase III study of topotecan versus paclitaxel in patients with advanced epithelial ovarian cancer who had failed one prior platinum-based regimen.
PATIENTS AND METHODS Patients with bidimensionally measurable disease were randomised to topotecan (1.5 mg/m(2)/day for 5 days) or paclitaxel (175 mg/m(2)/day as a 3-h infusion) every 21 days. Patients were eligible for treatment with the alternate therapy at third line. The European Organisation for Research and Treatment of Cancer Quality of Life (EORTC QOL)-C30 questionnaire was also used to measure eight symptoms at baseline and during each course (pain, anorexia, diarrhoea, fatigue, nausea and vomiting, dyspnea, constipation and insomnia).
RESULTS A total of 226 patients were evaluable for response. Demographic characteristics were similar in both treatment groups, as were results of the EORTC QOL-30 questionnaire. For the topotecan group, median time to progression was 18.9 weeks (range <1 to 92.6+ weeks; 25% censored), and, for paclitaxel, 14.7 weeks (range <1 to 137.3+ weeks; 12.3% censored); P = 0.076. At 4 years post-randomisation, median survival in the topotecan group was 63.0 weeks (range <1 to 238.4+ weeks; 20.5% censored) and, for paclitaxel, 53.0 weeks (range <1 to 226.3+ weeks; 12.3% censored); P = 0.44.
CONCLUSION Topotecan continues to demonstrate comparable efficacy and survival to paclitaxel with manageable and non-cumulative haematological toxicity. Non-haematological toxicity was generally mild for both groups. The long-term survival rate indicates substantial therapeutic benefit for this group of patients receiving topotecan at relapse of ovarian cancer.

"
21029638,"[Efficacy of paliperidone extended-release tablets in the improvement of social functions in schizophrenics: a randomized and controlled study].

OBJECTIVE To explore the efficacy of paliperidone extended-release tablets in the improvement of social functions in schizophrenics.
METHODS A total of 81 schizophrenics were randomly divided into study group with paliperidone extended-release tablets and control group with risperidone for a 12-week treatment. They were assessed and analyzed by positive and negative symptoms scales (PANSS), social disability screening schedule (SDSS) and treatment emergent symptom scale (TESS) at baseline, 6(th) weekend and 12(th) weekend.
RESULTS In study group, the factors and total scores of PANSS in the 12(th) weekend of treatment [(12.0 ± 2.8), (12.1 ± 3.6), (26.2 ± 5.0), (50.2 ± 8.7)] were all significantly lower than those at baseline [(24.7 ± 5.3), (23.8 ± 3.6), (45.0 ± 2.9), (93.5 ± 6.8)] (t = 9.60-16.78, P < 0.05). In study group, the positive factor, negative factor and total scores of PANSS in the 12(th) weekend of treatment [(12.0 ± 2.8), (12.1 ± 3.6), (50.2 ± 8.7)] were all significantly lower than those in the 6(th) weekend of treatment [(14.2 ± 1.8), (14.6 ± 2.4), (56.5 ± 6.4)] (t = 2.58-4.26, P < 0.05). In the 12(th) weekend of treatment, the factors and total scores of PANSS in study group [(12.0 ± 2.8), (12.1 ± 3.6), (26.2 ± 5.0), (50.2 ± 8.7)] were all significantly lower than those in control group [(16.9 ± 4.9), (18.7 ± 5.3), (32.5 ± 5.1), (68.1 ± 13.0)] (t = -4.28--5.67, P < 0.05). In study group, the total scores of SDSS in the 12(th) weekend of treatment (5.93 ± 2.78) were significantly lower than those at baseline (13.9 ± 3.4) (t = 10.83, P < 0.05). In study group, the total scores of SDSS in the 12(th) weekend of treatment (5.9 ± 2.8) were significantly lower than those in the 6(th) weekend of treatment (7.6 ± 2.9) (t = 5.21, P < 0.05). But there was no significant improvement in control group (t = 1.88, P > 0.05). In the 12(th) weekend of treatment, the total scores of SDSS in study group (5.9 ± 2.8) were significantly lower than those in control group (8.8 ± 2.9) (t = -4.49, P < 0.05). No severe adverse effect was reported in either group.
CONCLUSION Paliperidone extended-release tablets are effective to improve social functions and psychiatric symptoms of schizophrenics.

"
8916620,"Analysis of prevention program effectiveness with clustered data using generalized estimating equations.

Experimental studies of prevention programs often randomize clusters of individuals rather than individuals to treatment conditions. When the correlation among individuals within clusters is not accounted for in statistical analysis, the standard errors are biased, potentially resulting in misleading conclusions about the significance of treatment effects. This study demonstrates the generalized estimating equations (GEE) method, focusing specifically on the GEE-independent method, to control for within-cluster correlation in regression models with either continuous or binary outcomes. The GEE-independent method yields consistent and robust variance estimates. Data from project DARE, a youth substance abuse prevention program, are used for illustration.

"
9229602,"[Antazoline/tetryzoline eyedrops in comparison with levocabastine eyedrops in acute allergic conjunctivitis].

BACKGROUND Allergic conjunctivitis is one of the most frequent allergic diseases of the anterior eye segment.
METHODS This multicentre, clinical trial was an investigation to compare the antiallergic efficacy, local tolerance and safety of Antazolin/Tetryzolin eye drops and Levocabastine eye drops. 69 patients were treated over a 2 weeks course of therapy. The subjective and objective ocular symptoms were documented over the treatment period.
RESULTS Both eye drops reduced subjective and objective ocular symptoms effective. The difference between the treatments (p = 0.0395) was the faster onset of action of Antazolin/Tetryzolin 30 minutes after administration of the first drop of trial medication.
CONCLUSION A fast and effective onset of action is of high clinical relevance. Therefore the benefits of using Antazolin/Tetryzolin eye drops was clearly outweigh.

"
